date,unconditional_average_rain,conditional_average_rain,accumlated_rain,satellite_flag
2025-05-24 10:00,0.0000,-999,0.0000,11000000000000000010000000000000
2025-05-24 11:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-24 12:00,0.0000,-999,0.0000,11000000000000000000000000100000
2025-05-24 13:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-24 14:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-24 15:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-24 16:00,0.0055,0.0146,0.0874,11000000000000100000000000000000
2025-05-24 17:00,0.0286,0.0416,0.4579,11000000000000000000000000000000
2025-05-24 18:00,0.0431,0.0492,0.6893,11000000000000010000000000000000
2025-05-24 19:00,0.0817,0.0817,1.3067,11000000000000010000000000000000
2025-05-24 20:00,0.2298,0.2298,3.6771,11000000000000010000000000000000
2025-05-24 21:00,0.1025,0.1025,1.6394,11000000000000000000000000000000
2025-05-24 22:00,0.0701,0.0701,1.1218,11000000000000000000000000000000
2025-05-24 23:00,0.0476,0.1270,0.7617,11000000000001000010000000000000
2025-05-25 00:00,0.0320,0.0854,0.5121,11000000000000000000000000100000
2025-05-25 01:00,0.0153,0.1226,0.2453,11000000000001000000000000000000
2025-05-25 02:00,0.0077,0.0306,0.1226,11000000000000100000000000100000
2025-05-25 03:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-25 04:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-25 05:00,0.0013,0.0107,0.0214,11000000000000100000000000000000
2025-05-25 06:00,0.0023,0.0124,0.0371,11000000000000000000000000000000
2025-05-25 07:00,0.0138,0.0170,0.2205,11000000000000010000000000000000
2025-05-25 08:00,0.0657,0.0751,1.0513,11000000000000000000000000000000
2025-05-25 09:00,0.1081,0.1081,1.7296,11000000000000010000000000000000
2025-05-25 10:00,0.5361,0.5361,8.5782,11000000000000000010000000000000
2025-05-25 11:00,0.1508,0.1856,2.4125,11000000000000000000000000000000
2025-05-25 12:00,0.0566,0.0823,0.9054,11000000000000000000000000000000
2025-05-25 13:00,0.2963,0.3647,4.7414,11000000000001000000000000000000
2025-05-25 14:00,0.6190,0.9904,9.9037,11000000000001100000000000000000
2025-05-25 15:00,0.9624,1.2831,15.3977,11000000000000000000000000000000
2025-05-25 16:00,0.7480,0.7978,11.9672,11000000000000100000000000000000
2025-05-25 17:00,0.7902,0.7902,12.6430,11000000000000000000000000000000
2025-05-25 18:00,0.8600,0.8600,13.7598,11000000000000000000000000000000
2025-05-25 19:00,0.3213,0.3213,5.1404,11000000000000010000000000000000
2025-05-25 20:00,0.1198,0.1198,1.9169,11000000000000000000000000000000
2025-05-25 21:00,0.0450,0.0450,0.7208,11000000000000010000000000000000
2025-05-25 22:00,0.0190,0.0190,0.3036,11000000000000000000000000000000
2025-05-25 23:00,0.0000,-999,0.0000,11000000000001000010000000000000
2025-05-26 00:00,0.0000,-999,0.0000,11000000000001000000000000100000
2025-05-26 01:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-26 02:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-26 03:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-26 04:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-26 05:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-26 06:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-26 07:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-26 08:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-26 09:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-26 10:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-26 11:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-26 12:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-26 13:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-26 14:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-26 15:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-26 16:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-26 17:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-26 18:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-26 19:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-26 20:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-26 21:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-26 22:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-26 23:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-27 00:00,0.0000,-999,0.0000,11000000000001000010000000000000
2025-05-27 01:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-27 02:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-27 03:00,0.0006,0.0103,0.0103,11000000000000100000000000000000
2025-05-27 04:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-27 05:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-27 06:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-27 07:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-27 08:00,0.0000,-999,0.0000,11000000000000010010000000000000
2025-05-27 09:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-27 10:00,0.0000,-999,0.0000,11000000000000000010000000000000
2025-05-27 11:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-27 12:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-27 13:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-27 14:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-27 15:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-27 16:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-27 17:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-27 18:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-27 19:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-27 20:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-27 21:00,0.0000,-999,0.0000,11000000000000010010000000000000
2025-05-27 22:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-27 23:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-28 00:00,0.0000,-999,0.0000,11000000000001000010000000000000
2025-05-28 01:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-28 02:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-28 03:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-28 04:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-28 05:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-28 06:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-28 07:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-28 08:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-28 09:00,0.0000,-999,0.0000,11000000000000000010000000000000
2025-05-28 10:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-28 11:00,0.0000,-999,0.0000,11000000000000000010000000000000
2025-05-28 12:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-28 13:00,0.0000,-999,0.0000,11000000000000100000000000100000
2025-05-28 14:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-28 15:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-28 16:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-28 17:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-28 18:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-28 19:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-28 20:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-28 21:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-28 22:00,0.0000,-999,0.0000,11000000000001000010000000000000
2025-05-28 23:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-29 00:00,0.0000,-999,0.0000,11000000000001000010000000000000
2025-05-29 01:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-29 02:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-29 03:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-29 04:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-29 05:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-29 06:00,0.0117,0.1870,0.1870,11000000000000000000000000000000
2025-05-29 07:00,0.0161,0.1285,0.2570,11000000000000010000000000000000
2025-05-29 08:00,0.0199,0.1059,0.3177,11000000000000010000000000000000
2025-05-29 09:00,0.0167,0.0889,0.2667,11000000000000000010000000000000
2025-05-29 10:00,0.0200,0.1067,0.3201,11000000000000000000000000000000
2025-05-29 11:00,0.0199,0.1061,0.3184,11000000000001000000000000100000
2025-05-29 12:00,0.0487,0.2597,0.7791,11000000000001000000000000100000
2025-05-29 13:00,0.0533,0.4262,0.8524,11000000000001100000000000000000
2025-05-29 14:00,0.0186,0.1492,0.2983,11000000000000000000000000000000
2025-05-29 15:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-29 16:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-29 17:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-29 18:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-29 19:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-29 20:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-29 21:00,0.0000,-999,0.0000,11000000000001010000000000000000
2025-05-29 22:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-29 23:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-30 00:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-30 01:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-30 02:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-30 03:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-30 04:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-30 05:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-30 06:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-30 07:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-30 08:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-30 09:00,0.0000,-999,0.0000,11000000000000000010000000000000
2025-05-30 10:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-30 11:00,0.0000,-999,0.0000,11000000000001000010000000000000
2025-05-30 12:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-30 13:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-30 14:00,0.0000,-999,0.0000,11000000000001100000000000000000
